City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Los Llanos De Aridane,ES,70.12,clear sky,28.6585,-17.9182,Valle Aridane
3,Cape Town,ZA,61.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,Aldama,MX,57.36,overcast clouds,22.9167,-98.0667,CASA CANYE
7,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
8,Dingle,PH,79.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
10,Hobart,AU,56.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Port Lincoln,AU,60.75,clear sky,-34.7333,135.8667,Port Lincoln Hotel
12,Bata,GQ,76.42,overcast clouds,1.8639,9.7658,Hotel Elik Melen
14,Ushuaia,AR,53.26,broken clouds,-54.8,-68.3,Albatross Hotel
15,Rikitea,PF,72.95,moderate rain,-23.1203,-134.9692,People ThankYou
19,Pangkalanbuun,ID,76.33,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
20,Veraval,IN,75.4,clear sky,20.9,70.3667,Lords Inn Somnath
23,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
24,Cabo San Lucas,MX,79.11,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
29,Arlit,NE,68.56,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
30,Pula,HR,55.96,overcast clouds,44.8683,13.8481,Park Plaza Histria Pula
31,Port Elizabeth,ZA,64.31,clear sky,-33.918,25.5701,39 On Nile Guest House
34,Bambous Virieux,MU,68.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
35,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
37,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
40,Dickinson,US,54.16,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
41,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Busselton,AU,59.86,broken clouds,-33.65,115.3333,Observatory Guest House
43,Faanui,PF,79.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Te Anau,NZ,61.18,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
46,Mount Gambier,AU,57.15,broken clouds,-37.8333,140.7667,The Commodore
47,Esperance,AU,66.0,broken clouds,-33.8667,121.9,Hospitality Esperance
48,Mar Del Plata,AR,68.95,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
50,New Norfolk,AU,55.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
54,Bengkulu,ID,74.28,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
60,Muroto,JP,61.52,overcast clouds,33.2833,134.15,Oota Ryokan
61,Lata,PT,63.07,light rain,40.1629,-8.3327,Terraços da Beira
62,Castro,BR,58.39,clear sky,-24.7911,-50.0119,CHACARA BAILLY
66,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
68,Tautira,PF,77.43,overcast clouds,-17.7333,-149.15,Pension Oaoa
71,Yatou,CN,53.29,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
74,Bredasdorp,ZA,55.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
75,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Laguna,US,67.68,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
79,Lagoa,PT,62.53,scattered clouds,39.05,-27.9833,Casa Das Faias
81,Labrea,BR,75.25,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
82,Menongue,AO,63.0,scattered clouds,-14.6585,17.691,Ritz Lauca
84,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
88,Masuguru,TZ,76.15,few clouds,-11.3667,38.4167,
89,Moerai,PF,70.88,overcast clouds,-22.4333,-151.3333,Le Manotel
91,Ouango,CF,68.5,overcast clouds,4.3133,22.5552,
92,Punta Arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Hain
93,Awbari,LY,60.49,scattered clouds,26.5921,12.7805,استراحة الشارب العائلي
94,Ulladulla,AU,59.77,few clouds,-35.35,150.4667,Sandpiper Motel
95,Rio Verde De Mato Grosso,BR,75.15,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
99,Tuatapere,NZ,60.62,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
100,Iquique,CL,66.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
103,Ahipara,NZ,69.28,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
104,Adjumani,UG,67.82,overcast clouds,3.3779,31.7909,Hotel Zawadi
105,Alice Springs,AU,69.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
106,Springbok,ZA,53.82,few clouds,-29.6643,17.8865,Undulata Country Lodge
108,Asfi,MA,64.47,scattered clouds,32.2994,-9.2372,Hôtel Abda
111,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
113,Saldanha,ZA,55.45,broken clouds,-33.0117,17.9442,Blue Bay Lodge
114,Carnarvon,AU,67.39,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
116,Hualmay,PE,64.74,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
119,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
120,Plettenberg Bay,ZA,60.91,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
121,Weihai,CN,52.38,clear sky,37.5017,122.1136,Beihai Travel Resort
123,Kyle,US,53.74,few clouds,29.9984,-97.8715,La Quinta Inn & Suites by Wyndham Kyle - Austin South
125,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
126,San Patricio,US,51.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Loandjili,CG,75.81,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
129,Myrtle Beach,US,57.09,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
131,Lima,PE,67.89,few clouds,-12.0432,-77.0282,Hotel Kamana
132,Eureka,US,60.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
134,Avera,US,51.31,overcast clouds,33.194,-82.5271,
136,Oyem,GA,67.08,overcast clouds,1.5995,11.5793,Commissariat de police
139,Hilo,US,79.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
142,Emerald,AU,76.33,broken clouds,-23.5333,148.1667,Emerald Inn
146,Redcliffe,AU,72.9,clear sky,-27.2307,153.0973,Scarborough Beach Resort
147,Portland,US,54.19,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
153,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
154,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
156,Salamanca,ES,55.8,light rain,40.8333,-6.0,Palacio Carrascalino
157,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
158,Payakumbuh,ID,69.31,overcast clouds,-0.2202,100.6308,Dalimo Homestay
159,Sao Joao Da Barra,BR,73.49,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
161,Malanje,AO,61.84,overcast clouds,-9.5402,16.341,Hotel Ginga
165,Loreto,MX,75.07,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
166,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
173,Sao Filipe,CV,77.68,scattered clouds,14.8961,-24.4956,Hotel Xaguate
174,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
175,Mosquera,CO,57.29,broken clouds,4.7059,-74.2302,Hotel SJ
178,Lebu,CL,57.99,clear sky,-37.6167,-73.65,Hostal Las Lilas
179,Nova Vicosa,BR,74.52,light rain,-17.8919,-39.3719,Pousada Porto do Sol
181,Paita,PE,64.67,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
183,Jalu,LY,62.22,clear sky,29.0331,21.5482,صاحبة الفخامة
185,Ribeira Grande,PT,62.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
187,East London,ZA,65.7,broken clouds,-33.0153,27.9116,Tu Casa
188,Meulaboh,ID,75.18,moderate rain,4.1363,96.1285,Kost Pria
189,Anqing,CN,55.87,overcast clouds,30.5092,117.0506,Hongtian Hotel
192,Byron Bay,AU,68.7,overcast clouds,-28.65,153.6167,Backpackers Inn
193,Beroroha,MG,74.57,clear sky,-21.6667,45.1667,
194,Chilca,PE,63.66,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
195,Bondo,CD,68.65,overcast clouds,3.8146,23.6866,
196,Adrar,MR,73.85,clear sky,20.5022,-10.0711,
199,Marzuq,YE,62.19,clear sky,14.4,46.4667,حيد القفلة
202,Sitka,US,53.49,clear sky,57.0531,-135.33,Westmark Sitka
205,Mossendjo,CG,68.77,light rain,-2.9506,12.7261,HOTEL D'ASSISE
209,Fochville,ZA,68.9,scattered clouds,-26.4886,27.4939,Eden Vreugd Guesthouse
210,Bilma,NE,66.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
212,Soverato,IT,57.15,overcast clouds,38.685,16.5499,Hotel San Domenico
214,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
216,Huarmey,PE,65.35,overcast clouds,-10.0681,-78.1522,Hotel Miramar
218,Machinga,MW,70.45,light rain,-15.1685,35.3,
220,Marsabit,KE,67.62,scattered clouds,2.3284,37.9899,Chicho Hotel
224,Patacamaya,BO,50.2,scattered clouds,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
225,Chuy,UY,62.22,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
226,Katsuura,JP,60.69,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
227,Imbituba,BR,65.23,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
228,Nacajuca,MX,78.85,light rain,18.1333,-93.0167,Hotel la hoguera
230,Pundaguitan,PH,77.7,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
231,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
232,Axim,GH,77.7,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
233,Allende,MX,50.67,overcast clouds,25.2833,-100.0167,SDS Tracto partes
234,Lodja,CD,69.57,overcast clouds,-3.4833,23.4333,
235,Loa Janan,ID,78.01,overcast clouds,-0.583,117.095,Kost Garuda
236,Barranca,PE,64.15,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
243,Arinos,BR,71.44,scattered clouds,-15.9169,-46.1056,casa do bruno
245,Marawi,PH,69.91,moderate rain,7.9986,124.2928,Derogongan Residence
246,Hirara,JP,73.67,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
247,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
248,Jingdezhen,CN,58.51,overcast clouds,29.2947,117.2079,Garden Hotel
249,Juegang,CN,56.98,overcast clouds,32.3174,121.1855,Rudong Y Hotel
250,Cosala,MX,73.08,broken clouds,24.4125,-106.6908,Hotel Real del Conde
253,Kaitangata,NZ,57.97,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
255,Maneadero,MX,67.1,clear sky,31.7167,-116.5667,Casa De Thompson
256,Saint George,US,54.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
257,Satellite Beach,US,79.0,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
260,Acarau,BR,79.05,few clouds,-2.8856,-40.12,castelo pizzaria
261,Caravelas,BR,74.53,light rain,-17.7125,-39.2481,Pousada dos Navegantes
262,Hoquiam,US,56.93,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
263,Dumai,ID,74.26,light rain,1.6833,101.45,Grand Zuri Dumai
264,Gao,ML,69.93,broken clouds,16.6362,1.637,
265,Araxa,BR,71.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
267,Singleton,AU,65.91,clear sky,-32.5667,151.1833,Quest Singleton
269,Avanigadda,IN,64.8,clear sky,16.0215,80.9181,AP Camping
271,Beloha,MG,67.95,few clouds,-25.1667,45.05,
273,Belmonte,BR,76.59,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Hambantota,LK,76.33,broken clouds,6.1241,81.1185,Bungalow 63
276,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
278,Gien,FR,55.44,light rain,47.6933,2.6309,Hôtel la Poularde
279,Nuevo Casas Grandes,MX,55.74,clear sky,30.4167,-107.9167,Hotel Villa Colonial
280,Necochea,AR,61.9,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
282,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
285,Airai,TL,68.02,overcast clouds,-8.9266,125.4092,
286,Taltal,CL,63.63,few clouds,-25.4,-70.4833,Residencial Karime
288,Nakhon Thai,TH,73.44,scattered clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
291,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
292,Pimentel,PE,64.69,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
293,Kutum,SD,61.36,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
294,Ashqelon,IL,62.8,scattered clouds,31.6693,34.5715,Leonardo Ashkelon
297,Dubbo,AU,59.13,clear sky,-32.25,148.6167,Quality Inn Dubbo International
298,Margate,GB,54.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
301,Yulara,AU,74.25,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
302,Cap Malheureux,MU,68.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
304,Ebebiyin,GQ,68.11,overcast clouds,2.1511,11.3353,Vallée-du-Ntem
308,Sines,PT,63.28,overcast clouds,37.9562,-8.8698,Hotel Sinerama
309,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
312,Aurillac,FR,50.88,light rain,44.9167,2.45,Hôtel Restaurant Campanile Aurillac
313,Arica,CL,67.55,clear sky,-18.475,-70.3042,Americano
314,Ojinaga,MX,56.35,clear sky,29.5667,-104.4167,Suites Las Palmas
315,Lakes Entrance,AU,60.17,light rain,-37.8811,147.981,The Esplanade Resort & Spa
